Race,Incumbent Win? Y/N,GovTrack ID,Party,First Name,Last Name,Middle Name,Suffix,Gender,Birthday,Bioguide ID,FEC.gov ID,Wikidata ID
AK,Y,300075,R,Lisa,Murkowski,,,,,,S4AK00099,Q22360
AL,N,,R,Katie,Britt,Elizabeth,,F,02-02-1982,,S2AL00145,Q111285444
AZ,Y,456794,D,Mark,Kelly,,,,,,S0AZ00350,Q357510
AR,Y,400040,R,John,Boozman,,,,,,S0AR00150,Q1344707
CA,Y,456856,D,Alex,Padilla,,,,,,S2CA00955,Q4717593
CO,Y,412330,D,Michael,Bennet,,,,,,S0CO00211,Q554792
CT,Y,412490,D,Richard,Blumenthal,,,,,,S0CT00177,Q2023708
FL,Y,412491,R,Marco,Rubio,,,,,,S0FL00338,Q324546
GA,Y,456858,D,Rafael,Warnock,,,,,,,
HI,Y,412507,D,Brian,Schatz,,,,,,S4HI00136,Q1827902
IA,Y,300048,R,Chuck,Grassley,,,,,,S0IA00028,Q529294
ID,Y,300030,R,Mike,Crapo,,,,,,S8ID00027,Q734319
IL,Y,412533,D,Tammy,Duckworth,,,,,,S6IL00292,Q3036410
IN,Y,412428,R,Todd,Young,,,,,,S6IN00191,Q25483
KS,Y,400284,R,Jerry,Moran,,,,,,S0KS00091,Q1365787
KY,Y,412492,R,Rand,Paul,,,,,,S0KY00156,Q463557
LA,Y,412679,R,John,Kennedy,,,,,,S4LA00065,Q6250211
MD,Y,400415,D,Chris,Van Hollen,,,,,,S6MD03441,Q1077819
MO,N,,R,Eric,Schmitt,Stephen,,M,20-06-1975,,S2MO00544,Q5387455
NC,N,412712,R,Ted,Budd,,,,,,S2NC00505,Q27733792
ND,Y,412494,R,John,Hoeven,,,,,,S0ND00093,Q374762
NH,Y,412680,D,Maggie,Hassan,,,,,,S6NH00091,Q24053
NV,Y,412681,D,Catherine,Cortez Masto,,,,,,S6NV00200,Q5052604
NY,Y,300087,D,Chuck,Schumer,,,,,,S8NY00082,Q380900
OH,N,,R,J.D. (James),Vance,(David),,M,02-08-1984,,S2OH00436,Q28935729
OK,Y,412464,R,James,Lankford,,,,,,H2TX30228,Q45940
OR,Y,300100,D,Ron,Wyden,,,,,,S6OR00110,Q529344
PA,N,,D,John,Fetterman,Karl,,M,15-08-1969,,S6PA00274,Q3181500
SC,Y,412471,R,Tim,Scott,,,,,,S4SC00240,Q561315
SD,Y,400546,R,John,Thune,,,,,,S2SD00068,Q462981
UT,Y,412495,R,Mike,Lee,,,,,,S0UT00165,Q627098
VT,N,412239,D,Peter,Welch,,,,,,S2VT00235,Q1112656
WA,Y,300076,D,Patty,Murray,,,,,,S2WA00189,Q258825
WI,Y,412496,R,Ron,Johnson,,,,,,S0WI00197,Q970272
AK0,N,456870,D,Mary,Peltola,,,,,,H2AK01158,Q13562231
AL1,Y,456799,R,Jerry,Carl,,,,,,H0AL01055,Q102277702
AL2,Y,456800,R,Barry,Moore,,,,,,H8AL02171,Q63198048
AL3,Y,400341,R,Mike,Rogers,,,,,,H2AL03032,Q693238
AL4,Y,400004,R,Robert,Aderholt,,,,,,H6AL04098,Q672671
AL5,N,,R,Dale,Strong,,,M,08-05-1970,,H2AL05102,Q115137374
AL6,Y,412608,R,Gary,Palmer,,,,,,H4AL06098,Q17386504
AL7,Y,412396,D,Terri,Sewell,,,,,,H0AL07086,Q461621
AR1,Y,412400,R,Rick,Crawford,,,,,,H0AR01083,Q2151554
AR2,Y,412609,R,French,Hill,,,,,,H4AR02141,Q18631366
AR3,Y,412402,R,Steve,Womack,,,,,,H0AR03055,Q1029527
AR4,Y,412610,R,Bruce,Westerman,,,,,,H4AR04048,Q16197421
AS0,Y,412664,R,Aumua,Radewagen,,,,,,H4AS00036,Q18684027
AZ1,Y,412399,R,David,Schweikert,,,,,,H4AZ06045,Q1176561
AZ2,N,,R,Eli,Crane,,,M,03-01-1980,,H2AZ01354,Q115155633
AZ3,Y,412612,D,Ruben,Gallego,,,,,,H4AZ07043,Q16218474
AZ4,Y,412753,D,Greg,Stanton,,,,,,H8AZ09040,Q5606289
AZ5,Y,412683,R,Andy,Biggs,,,,,,H6AZ05083,Q16199304
AZ6,N,,R,Juan,Ciscomani,Guadaloupe,,M,30-08-1982,,H2AZ02360,Q115220916
AZ7,Y,400162,D,Raúl,Grijalva,,,,,,H2AZ07070,Q946606
AZ8,Y,412745,R,Debbie,Lesko,,,,,,H8AZ08158,Q16731415
AZ9,Y,412397,R,Paul,Gosar,,,,,,H0AZ01259,Q2059832
CA1,Y,412510,R,Doug,LaMalfa,,,,,,H2CA02142,Q1703840
CA2,Y,412511,D,Jared,Huffman,,,,,,H2CA06259,Q3276717
CA3,N,,R,Kevin,Kiley,Patrick,,M,30-01-1985,,H2CA03157,Q27987136
CA4,N,400403,D,Mike,Thompson,,,,,,H8CA01109,Q1323196
CA5,N,412295,R,Tom,McClintock,,,,,,H8CA04152,Q535887
CA6,N,412512,D,Ami,Bera,,,,,,H0CA03078,Q3389105
CA7,N,400663,D,Doris,Matsui,,,,,,H6CA05195,Q399561
CA8,N,412382,D,John,Garamendi,,,,,,H0CA10149,Q1340268
CA9,N,412754,D,Josh,Harder,Keck,,M,01-08-1986,,H8CA10126,Q58494468
CA10,N,412613,D,Mark,DeSaulnier,,,,,,H0CA10073,Q6767311
CA11,N,400314,D,Nancy,Pelosi,,,,,,H8CA05035,Q170581
CA12,N,400237,D,Barbara,Lee,,,,,,H8CA09060,Q289317
CA13,N,,R,John,Duarte,,,M,06-09-1966,,H2CA13131,Q115574315
CA14,N,412514,D,Eric,Swalwell,,,,,,H2CA15094,Q3466996
CA15,N,,D,Kevin,Mullin,,,M,15-06-1970,,H2CA14162,Q6397046
CA16,N,400124,D,Anna,Eshoo,,,,,,H8CA12098,Q291193
CA17,Y,412684,D,Ro,Khanna,,,,,,H4CA12055,Q7339221
CA18,N,400245,D,Zoe,Lofgren,,,,,,H4CA16049,Q218217
CA19,N,412685,D,Jimmy,Panetta,,,,,,H6CA20152,Q27733776
CA20,N,412190,R,Kevin,McCarthy,,,,,,H6CA22125,Q766866
CA21,N,400618,D,Jim,Costa,,,,,,H4CA20082,Q675869
CA22,N,412515,R,David,Valadao,,,,,,,
CA23,N,456801,R,Jay,Obernolte,,,,18-08-1970,,H0CA08135,Q16849797
CA24,Y,412686,D,Salud,Carbajal,,,,,,H6CA24303,Q27805429
CA25,N,412519,D,Raul,Ruiz,,,,,,H2CA36439,Q3701994
CA26,Y,412516,D,Julia,Brownley,,,,,,H2CA00120,Q3577073
CA27,N,456792,R,Mike,Garcia,,,,,,,
CA28,N,412379,D,Judy,Chu,,,,,,H0CA32101,Q460035
CA29,Y,412517,D,Tony,Cárdenas,,,,,,H2CA28113,Q3620422
CA30,N,400361,D,Adam,Schiff,,,,,,H0CA27085,Q350843
CA31,N,400290,D,Grace,Napolitano,,,,,,H8CA34068,Q469139
CA32,N,400371,D,Brad,Sherman,,,,,,H6CA24113,Q672919
CA33,N,412615,D,Pete,Aguilar,,,,,,H2CA31125,Q7171821
CA34,Y,412739,D,Jimmy,Gomez,,,,,,H8CA34266,Q6200205
CA35,Y,412617,D,Norma,Torres,,,,,,H4CA35031,Q3343727
CA36,N,412616,D,Ted,Lieu,,,,,,H4CA33119,Q7693450
CA37,N,,D,Sydney,Kamlager,Kai,,F,20-07-1972,,H2CA37304,Q20177418
CA38,Y,400355,D,Linda,Sánchez,,,,,,H2CA39078,Q291143
CA39,N,412520,D,Mark,Takano,,,,,,H2CA43245,Q399593
CA40,N,456802,R,Young,Kim,Oak,,,18-10-1962,,H8CA39240,Q19662859
CA41,N,400057,R,Ken,Calvert,,,,,,H2CA37023,Q538978
CA42,N,,D,Robert,Garcia,Julio,,M,02-12-1977,,H2CA47188,Q16204904
CA43,Y,400422,D,Maxine,Waters,,,,,,H4CA23011,Q461727
CA44,Y,412687,D,Nanette,Barragán,,,,,,H6CA44103,Q21662745
CA45,N,456803,R,Michelle,Steel,Eunjoo,,,21-06-1955,,H0CA48198,Q6837200
CA46,Y,412688,D,Lou,Correa,,,,,,H6CA46116,Q6685454
CA47,N,412758,D,Katie,Porter,,,,,,,
CA48,N,400196,R,Darrell,Issa,Edward,,,01-11-1953,,H0CA50178,Q1166592
CA49,Y,412760,D,Mike,Levin,,,,,,H8CA49058,Q55424854
CA50,N,412523,D,Scott,Peters,,,,,,H2CA52089,Q3791514
CA51,N,456804,D,Sara,Jacobs,,,,,,H8CA49074,Q50825637
CA52,N,412522,D,Juan,Vargas,,,,,,H2CA50026,Q3791701
CO1,Y,400101,D,Diana,DeGette,,,,,,H6CO01141,Q437159
CO2,Y,412761,D,Joe,Neguse,,,,,,H8CO02160,Q57242006
CO3,Y,456805,R,Lauren,Boebert,Opal,,,15-12-1986,,H0CO03165,Q96761544
