O_G,O_A,O_B,O_C,Ir,Iy,Ib,Vr,Vy,Vb
1,1,0,0,57.6773867,-3.393934011,-54.27840269,1526.196287,3769.125261,-5295.321548
1,1,0,0,57.20376801,-2.378281346,-54.82548667,1443.805935,3830.522025,-5274.32796
1,1,0,0,56.72108526,-1.362041953,-55.35904331,1361.059348,3890.973669,-5252.033017
1,1,0,0,41.8026886,6.865392895,-48.6680815,1109.107989,4034.899748,-5144.007726
1,1,0,0,7.059460658,14.79951845,-42.25672687,626.062778,4173.818187,-5038.725329
1,1,0,0,-40.77134835,-3.170460383,-61.73539882,1.560636,4003.312258,-5240.594238
1,1,0,0,-80.54755769,-28.62527256,-88.68445405,-512.773899,3746.140827,-5526.847854
1,1,0,0,-97.0063643,-37.40575204,-98.94435782,-735.10085,3697.62294,-5602.159948
1,1,0,0,-100.7612072,-35.53712842,-98.53997473,-802.476213,3778.093418,-5546.189099
1,1,0,0,-87.14680474,-20.30731155,-84.75885332,-667.046567,4014.175022,-5332.306507
1,1,0,0,-56.51860586,-0.447933922,-66.33226865,-337.225152,4299.547571,-5066.826853
1,1,0,0,-20.78877291,7.725321393,-59.57555028,38.142775,4437.385447,-4946.57086
1,1,0,0,6.30815393,8.765419925,-59.93538317,295.895039,4485.059546,-4914.163298
1,1,0,0,19.27637821,13.19023006,-56.8935535,372.863183,4571.61144,-4840.558822
1,1,0,0,21.92036659,20.13445437,-51.3150175,321.705219,4686.298177,-4736.497183
1,1,0,0,14.63854998,25.93052076,-46.86701028,151.526716,4784.116953,-4646.978578
1,1,0,0,-1.417679924,24.90628124,-49.22134722,-119.673664,4799.081122,-4637.987607
1,1,0,0,-19.6648077,14.45170352,-60.98773243,-411.272642,4701.827845,-4738.885602
1,1,0,0,-29.4003774,5.015447334,-71.71718251,-595.304215,4619.333873,-4822.694965
1,1,0,0,-26.12232501,5.873448983,-72.13344208,-621.502728,4662.162241,-4778.852287
1,1,0,0,-13.36920401,14.30076421,-64.96114099,-536.833374,4794.327769,-4643.343023
1,1,0,0,6.085462049,24.65529452,-55.84206809,-378.760096,4945.264258,-4486.734208
1,1,0,0,29.60571261,31.95696973,-49.75598871,-180.278395,5055.493333,-4368.505581
1,1,0,0,51.51376718,33.94109591,-48.96729688,-10.156223,5098.870326,-4314.803823
1,1,0,0,66.19469648,34.52964059,-49.55373009,66.345158,5123.993193,-4277.033497
1,1,0,0,72.46606306,37.54554872,-47.69205349,37.806802,5177.176433,-4208.88325
1,1,0,0,72.83391874,41.22954719,-45.1412554,-61.942694,5237.090595,-4131.686196
1,1,0,0,69.62886052,41.96343509,-45.51925714,-202.899466,5260.219052,-4088.963241
1,1,0,0,65.13246263,38.36278921,-50.21020756,-356.320712,5231.28001,-4096.001019
1,1,0,0,63.15548486,32.94916242,-56.69228478,-477.024273,5181.421982,-4121.656418
1,1,0,0,67.76202381,31.06614356,-59.62163634,-517.533808,5174.793184,-4101.787184
1,1,0,0,79.55262919,34.90214027,-56.80959644,-473.362945,5236.203302,-4011.590187
1,1,0,0,95.76160665,41.22355563,-51.48950934,-379.871998,5325.252361,-3891.472486
1,1,0,0,113.4648293,45.97333173,-47.71818589,-273.729874,5392.47335,-3790.908759
1,1,0,0,130.5249861,47.77429991,-46.87255333,-180.381058,5422.135455,-3725.63807
1,1,0,0,144.6317031,47.85534906,-47.72348707,-126.813698,5429.839965,-3680.067897
